,adapt,adp_v,avg_rate,fast_trough_t,fast_trough_v,fi_fit_slope,first_isi,input_resistance,isi_cv,latency,mean_isi,median_isi,peak_t,peak_v,rheo_first_isi,rheobase_i,sag,stim_amp,tau,threshold_v,trough_t,trough_v,upstroke_downstroke_ratio,v_baseline,vm_for_sag,width
592558182,0.32082278065934033,,6.000120002400049,0.7154400000000001,-61.37500381469727,0.14076714576630278,0.009839999999999849,161.06779873371124,1.0664643674408003,0.05902000000000007,0.13204399999999994,0.032280000000000086,0.7129000000000001,39.8125,,40.0,0.07564365118741989,90.0,0.0282890979827143,-46.06250381469727,0.7155600000000001,-61.5,3.8069392100240136,-66.3857421875,-87.00000762939453,0.0009399999999999408
592585119,,,1.0000200004000082,0.8817999999999999,-55.75,-2.128633198740199e-17,,75.91142505407332,,0.3636200000000001,,,0.8792399999999999,39.875,,290.0,0.06605023890733719,300.0,0.031316036321033365,-40.53125,0.8820999999999999,-56.0,3.1001683117969736,-74.94566170828683,-84.62500762939453,0.0009600000000000721
592592260,,,1.0000200004000082,0.6384399999999999,-56.21875381469727,-6.317329305618869e-18,,64.97398763895035,,0.09284000000000003,,,0.63598,39.8125,,230.0,0.0977088063955307,249.9999847412109,0.026322760740180917,-36.4375,0.6387799999999999,-56.46875,3.2873027581882535,-68.09439182281494,-76.84375,0.000920000000000032
592598069,,,1.0000200004000082,0.59396,-56.03125381469727,0.07991130791614877,,118.88020485639572,,0.060999999999999936,,,0.5912999999999999,32.500003814697266,,90.0,0.0050248783081769935,130.0,0.024896623109007688,-34.21875,0.5944799999999999,-56.43750381469727,2.4782746974901735,-54.0321523030599,-68.34375,0.0011200000000000099
592598599,,,1.0000200004000082,0.61232,-60.53125,0.021257031751868792,,88.67181092500687,,0.06752000000000002,,,0.6101399999999999,41.84375381469727,,150.0,0.15163086354732513,190.0,0.027952884892273263,-42.03125,0.6124799999999999,-60.84375381469727,3.2383496909249585,-67.3304739559398,-78.56250762939453,0.0010200000000000207
595572609,,,1.0000200004000082,0.6032,-55.93750381469727,0.02341436619118479,,82.16145634651184,,0.049160000000000086,,,0.6009599999999999,26.093751907348636,,190.0,0.09050500392913817,230.0,0.012768794404441269,-38.84375,0.6271399999999999,-57.28125381469727,2.395306734221891,-74.56131443224456,-84.59375,0.0010200000000000207
595583062,0.04088319894061953,,13.000260005200104,0.7943199999999999,-50.96875,0.1937675612675929,0.03316000000000008,146.8750685453415,0.17832875525457842,0.04905999999999988,0.07389833333333334,0.07904000000000011,0.7919,18.34375,,100.0,0.0066053871996700755,150.0,0.01517776035167624,-41.78125,0.8731,-56.25000381469727,2.4922325051123027,-79.64936114895728,-96.43750762939452,0.00099999999999989
596036401,,,1.0000200004000082,0.6025,-50.96875,0.07526747467729418,,43.88020932674408,,0.062279999999999884,,,0.6004,41.12500381469727,,370.0,0.0945725217461586,410.0,0.013405986625589759,-40.56250381469727,0.68506,-55.00000381469727,3.140954479891498,-73.4591458638509,-78.9375,0.0008799999999999918
596049425,,,1.0000200004000082,0.5877999999999999,-57.84375381469727,0.07130187574682856,,108.46363753080368,,0.0935999999999999,,,0.58548,26.218751907348636,,90.0,0.17908239364624026,140.0,0.02153566123344202,-49.21875,0.6536,-59.28125381469727,3.686204110988561,-68.74989206650677,-81.59375,0.00099999999999989
596052266,,,1.0000200004000082,0.6327400000000001,-55.71875381469727,0.13579958296533814,,135.67708432674408,,0.06427999999999989,,,0.6308799999999999,33.03125,,130.0,0.03315407782793045,170.0,0.02040453144604213,-46.78125381469727,0.67832,-58.53125381469727,2.4559584254971663,-80.41296664151278,-95.59375762939452,0.0007800000000000028
596053384,,,1.0000200004000082,0.599,-54.93750381469727,0.03953567443441891,,55.46865239739418,,0.05712000000000006,,,0.5971,45.43750381469727,,300.0,0.11489729583263394,350.0,0.013375250709694114,-44.53125381469727,0.65958,-56.50000381469727,3.059118033206044,-73.51264826456706,-80.0625,0.0008200000000000429
596069208,,,1.0000200004000082,0.6026600000000001,-58.50000381469727,0.1450544503147186,,126.6927719116211,,0.08224000000000009,,,0.6005400000000001,17.406251907348633,,110.0,0.00841827318072319,150.0,0.013039229527856142,-53.53125,0.6669400000000001,-62.90625,2.6041022561733165,-81.17602284749348,-94.84375,0.0008999999999999008
596891511,0.05868592292015212,,8.000160003200065,0.60154,-56.43750381469727,0.10073731066726133,0.06929999999999993,86.06770634651184,0.19550778010485492,0.04024000000000005,0.12408857142857142,0.1304399999999999,0.59904,47.46875,,130.0,0.0771944522857666,170.0,0.016011247809607217,-43.5625,0.60192,-56.68750381469727,3.943831958185676,-64.6666374206543,-74.96875762939453,0.0009399999999999408
596892878,0.13591448311823753,,3.0000600012000245,0.64436,-46.56250381469727,0.014285676067481575,0.33142000000000005,100.9114533662796,0.13591448311823753,0.14179999999999993,0.3835500000000001,0.3835500000000001,0.6423000000000001,43.375,0.33142000000000005,210.0,0.02105401642620564,210.0,0.022232790982155998,-39.43750381469727,0.72532,-48.71875,3.7183069659197283,-71.93729297534841,-81.78125,0.0008600000000000829
596894384,0.05831856466960179,,10.000200004000082,0.7082599999999999,-52.96875,0.16848263191902044,0.047840000000000105,316.92707538604736,0.29568343863261554,0.029579999999999936,0.1014511111111111,0.1110199999999999,0.7033799999999999,38.71875381469727,,10.0,0.036254141479730606,50.0,0.04874879657738961,-39.84375381469727,0.7106999999999999,-54.50000381469727,5.363511159587109,-54.41892955614173,-92.43750762939452,0.0017000000000000348
596894444,,,1.0000200004000082,0.6562600000000001,-38.1875,0.0040000162454778155,,67.70826876163483,,0.15213999999999994,,,0.65292,29.15625,,249.9999847412109,0.028337031602859494,249.9999847412109,0.019639173522447238,-34.21875,0.8,-43.68750381469727,3.129542704703532,-67.34235922495526,-85.87500762939453,0.0014199999999999768
596898838,,-43.5625,2.0000400008000163,0.7258,-44.31250381469727,0.1097983841856243,0.3492599999999999,124.60943311452866,0.0,0.19920000000000004,0.3492599999999999,0.3492599999999999,0.7237199999999999,51.34375381469727,0.42266,130.0,0.013973293825984,170.0,0.02119421858979714,-34.906253814697266,0.79274,-48.40625,3.3898611509675374,-75.64492558070592,-90.59375762939452,0.0008000000000001339
596917084,,,2.0000400008000163,0.6485000000000001,-36.000003814697266,-0.02500051272591696,0.011319999999999995,58.463525027036674,0.0,0.05464000000000002,0.011319999999999995,0.011319999999999995,0.6451800000000001,28.3125,0.5125,210.0,0.08773308247327805,249.9999847412109,0.015668909183990432,-26.781251907348636,0.7122200000000001,-41.0625,3.0748881832378627,-54.90579544067383,-63.0,0.0013399999999998966
601940782,0.3555983540615213,,5.000100002000041,0.6601199999999999,-53.90625,0.0979186272909416,0.010440000000000005,84.5051109790802,0.5669037099348608,0.07196000000000002,0.20509000000000002,0.24724,0.6578999999999999,45.0,0.03469999999999995,190.0,0.10361164063215256,230.0,0.0172690545266015,-43.90625381469727,0.66038,-54.03125381469727,3.644100943326895,-78.25504696007931,-87.68750762939453,0.0008799999999999918
