,720845918,720856118,767433014,793560315
adapt,0.05412670701620102,,,
avg_rate,9.577524741938916,2.707312450929962,1.0877368547001112,3.853861569292432
first_isi,0.06274000000000002,0.6046400000000001,,0.3708600000000001
isi_cv,0.18853793812247369,0.0,,0.0
latency,0.03854000000000002,0.04831999999999992,0.06124000000000007,0.06738
mean_isi,0.11018,0.6046400000000001,,0.3708600000000001
median_isi,0.11424999999999996,0.6046400000000001,,0.3708600000000001
stim_amp,150.0,180.0,420.0,300.0
threshold_v,-37.15625,-37.687503814697266,-36.256248474121094,-45.775001525878906
peak_v,51.062503814697266,49.53125,48.79375076293945,45.662498474121094
trough_v,-52.500003814697266,-51.406253814697266,-51.73125457763672,-61.837501525878906
fast_trough_v,-48.96875,-49.250003814697266,-48.42499923706055,-55.60000228881836
adp_v,-48.468753814697266,,,
width,0.0008799999999999919,0.0009399999999999409,0.0008799999999999919,0.0008199999999999319
upstroke_downstroke_ratio,3.718703037976632,3.62647677982856,3.0445122254583654,3.6330476100427225
peak_t,0.6008199999999999,0.6032200000000001,0.6352,0.66016
fast_trough_t,0.6030199999999999,0.6055200000000001,0.63708,0.6621400000000001
trough_t,0.6377999999999999,0.6655599999999999,0.7064,0.732
rheo_first_isi,0.32226,,,
v_baseline,-71.10155160086495,-69.63487788609096,-70.51404253641765,-74.11828837675206
rheobase_i,110.0,140.0,380.0,260.0
fi_fit_slope,0.11639352984995216,0.09042000568535613,0.03263210564100332,0.06810703635387486
sag,0.05982854217290878,0.055114880204200745,0.07853956520557404,0.12330834567546844
vm_for_sag,-86.15625762939453,-82.28125762939453,-74.29999542236328,-80.79375457763672
input_resistance,119.06253546476364,112.18753457069397,49.99980702996254,45.23435980081558
tau,0.016694107293154414,0.01868671641811665,0.012421392056020627,0.017210671583403916
